3000	1000	AirConditioning	Small	This is a useful description of the value:Small
3001	1000	Bathroom	Full	This is a useful description of the value:Full
3002	1000	Beds	Styrofoam	This is a useful description of the value:Styrofoam
3003	1000	Carpet	Shag	This is a useful description of the value:Shag
3004	1000	Electric	75 Amp Service	This is a useful description of the value:75 Amp Service
3005	1000	EntertainmentPackage	High-Def	This is a useful description of the value:High-Def
3006	1000	Furnace	Heat Pump	This is a useful description of the value:Heat Pump
3007	1000	GasTank	Low-Weight	This is a useful description of the value:Low-Weight
3008	1000	Generator	Standard	This is a useful description of the value:Standard
3009	1000	Kitchen	Partial	This is a useful description of the value:Partial
3010	1000	NumSleeping	7	This is a useful description of the value:7
3011	1000	OnboardWater	None	This is a useful description of the value:None
3012	1000	Seats	Naugahyde	This is a useful description of the value:Naugahyde
3013	1000	SlideOuts	1 Bedroom, DiningRoom, and Kitchen	This is a useful description of the value:1 Bedroom, DiningRoom, and Kitchen
3014	1000	SolarPanels	Single	This is a useful description of the value:Single
3015	1000	StorageCapacity	Economy	This is a useful description of the value:Economy
3016	1000	TowHitch	Back Only	This is a useful description of the value:Back Only
3017	1000	Walls	Insulated	This is a useful description of the value:Insulated
3018	1001	AirConditioning	None	This is a useful description of the value:None
3019	1001	Bathroom	Full	This is a useful description of the value:Full
3020	1001	Beds	Styrofoam	This is a useful description of the value:Styrofoam
3021	1001	Carpet	Plush	This is a useful description of the value:Plush
3022	1001	Electric	75 Amp Service	This is a useful description of the value:75 Amp Service
3023	1001	EntertainmentPackage	High-Def	This is a useful description of the value:High-Def
3024	1001	Furnace	Heat Pump	This is a useful description of the value:Heat Pump
3025	1001	GasTank	Low-Weight	This is a useful description of the value:Low-Weight
3026	1001	Generator	None	This is a useful description of the value:None
3027	1001	Kitchen	None	This is a useful description of the value:None
3028	1001	NumSleeping	1	This is a useful description of the value:1
3029	1001	OnboardWater	25 Gallon	This is a useful description of the value:25 Gallon
3030	1001	Seats	Stain-Guarded Cloth	This is a useful description of the value:Stain-Guarded Cloth
3031	1001	SlideOuts	3 Bedrooms, DiningRoom, and Kitchen	This is a useful description of the value:3 Bedrooms, DiningRoom, and Kitchen
3032	1001	SolarPanels	2nd Generation	This is a useful description of the value:2nd Generation
3033	1001	StorageCapacity	Large	This is a useful description of the value:Large
3034	1001	TowHitch	Heavy Duty Front Only	This is a useful description of the value:Heavy Duty Front Only
3035	1001	Walls	UltraLight	This is a useful description of the value:UltraLight
3036	1002	AirConditioning	Central-Air	This is a useful description of the value:Central-Air
3037	1002	Bathroom	Full	This is a useful description of the value:Full
3038	1002	Beds	Styrofoam	This is a useful description of the value:Styrofoam
3039	1002	Carpet	Nylon	This is a useful description of the value:Nylon
3040	1002	Electric	200 Amp Service	This is a useful description of the value:200 Amp Service
3041	1002	EntertainmentPackage	High-Def	This is a useful description of the value:High-Def
3042	1002	Furnace	Medium	This is a useful description of the value:Medium
3043	1002	GasTank	Low-Weight	This is a useful description of the value:Low-Weight
3044	1002	Generator	Large	This is a useful description of the value:Large
3045	1002	Kitchen	Bakery	This is a useful description of the value:Bakery
3046	1002	NumSleeping	5	This is a useful description of the value:5
3047	1002	OnboardWater	125 Gallon	This is a useful description of the value:125 Gallon
3048	1002	Seats	Faux Naugahyde	This is a useful description of the value:Faux Naugahyde
3049	1002	SlideOuts	1 Bedroom, and Kitchen	This is a useful description of the value:1 Bedroom, and Kitchen
3050	1002	SolarPanels	Triple	This is a useful description of the value:Triple
3051	1002	StorageCapacity	Expanded	This is a useful description of the value:Expanded
3052	1002	TowHitch	Front Only	This is a useful description of the value:Front Only
3053	1002	Walls	WhiteBoard	This is a useful description of the value:WhiteBoard
3054	1003	AirConditioning	None	This is a useful description of the value:None
3055	1003	Bathroom	Full	This is a useful description of the value:Full
3056	1003	Beds	Super Styrofoam	This is a useful description of the value:Super Styrofoam
3057	1003	Carpet	Polyester	This is a useful description of the value:Polyester
3058	1003	Electric	60 Amp Service	This is a useful description of the value:60 Amp Service
3059	1003	EntertainmentPackage	Surround Sound	This is a useful description of the value:Surround Sound
3060	1003	Furnace	Standard	This is a useful description of the value:Standard
3061	1003	GasTank	Low-Weight	This is a useful description of the value:Low-Weight
3062	1003	Generator	Mini	This is a useful description of the value:Mini
3063	1003	Kitchen	Microwave Only	This is a useful description of the value:Microwave Only
3064	1003	NumSleeping	7	This is a useful description of the value:7
3065	1003	OnboardWater	75 Gallon	This is a useful description of the value:75 Gallon
3066	1003	Seats	I can not beleive its not Naugahyde(R)	This is a useful description of the value:I can not beleive its not Naugahyde(R)
3067	1003	SlideOuts	1 Bedroom, LivingRoom, DiningRoom, and Kitchen	This is a useful description of the value:1 Bedroom, LivingRoom, DiningRoom, and Kitchen
3068	1003	SolarPanels	Double	This is a useful description of the value:Double
3069	1003	StorageCapacity	Ehanced	This is a useful description of the value:Ehanced
3070	1003	TowHitch	Front and Back	This is a useful description of the value:Front and Back
3071	1003	Walls	Reinforced	This is a useful description of the value:Reinforced
3072	1004	AirConditioning	Small	This is a useful description of the value:Small
3073	1004	Bathroom	None	This is a useful description of the value:None
3074	1004	Beds	AirMattress	This is a useful description of the value:AirMattress
3075	1004	Carpet	None	This is a useful description of the value:None
3076	1004	Electric	None	This is a useful description of the value:None
3077	1004	EntertainmentPackage	None	This is a useful description of the value:None
3078	1004	Furnace	None	This is a useful description of the value:None
3079	1004	GasTank	Standard	This is a useful description of the value:Standard
3080	1004	Generator	Micro	This is a useful description of the value:Micro
3081	1004	Kitchen	Professional	This is a useful description of the value:Professional
3082	1004	NumSleeping	7	This is a useful description of the value:7
3083	1004	OnboardWater	None	This is a useful description of the value:None
3084	1004	Seats	Inflatable	This is a useful description of the value:Inflatable
3085	1004	SlideOuts	Kitchen	This is a useful description of the value:Kitchen
3086	1004	SolarPanels	Triple	This is a useful description of the value:Triple
3087	1004	StorageCapacity	Restricted	This is a useful description of the value:Restricted
3088	1004	TowHitch	Front Only	This is a useful description of the value:Front Only
3089	1004	Walls	Unfinished	This is a useful description of the value:Unfinished
3090	1005	AirConditioning	Small	This is a useful description of the value:Small
3091	1005	Bathroom	Full	This is a useful description of the value:Full
3092	1005	Beds	Super Styrofoam	This is a useful description of the value:Super Styrofoam
3093	1005	Carpet	Plush	This is a useful description of the value:Plush
3094	1005	Electric	200 Amp Service	This is a useful description of the value:200 Amp Service
3095	1005	EntertainmentPackage	Surround Sound	This is a useful description of the value:Surround Sound
3096	1005	Furnace	Medium	This is a useful description of the value:Medium
3097	1005	GasTank	Low-Weight	This is a useful description of the value:Low-Weight
3098	1005	Generator	Micro	This is a useful description of the value:Micro
3099	1005	Kitchen	Full Range	This is a useful description of the value:Full Range
3100	1005	NumSleeping	5	This is a useful description of the value:5
3101	1005	OnboardWater	75 Gallon	This is a useful description of the value:75 Gallon
3102	1005	Seats	Naugahyde	This is a useful description of the value:Naugahyde
3103	1005	SlideOuts	1 Bedroom, LivingRoom, DiningRoom, and Kitchen	This is a useful description of the value:1 Bedroom, LivingRoom, DiningRoom, and Kitchen
3104	1005	SolarPanels	Double	This is a useful description of the value:Double
3105	1005	StorageCapacity	Economy	This is a useful description of the value:Economy
3106	1005	TowHitch	Front and Back	This is a useful description of the value:Front and Back
3107	1005	Walls	Reinforced	This is a useful description of the value:Reinforced
3108	1006	AirConditioning	None	This is a useful description of the value:None
3109	1006	Bathroom	Full	This is a useful description of the value:Full
3110	1006	Beds	Styrofoam	This is a useful description of the value:Styrofoam
3111	1006	Carpet	Patterned	This is a useful description of the value:Patterned
3112	1006	Electric	60 Amp Service	This is a useful description of the value:60 Amp Service
3113	1006	EntertainmentPackage	High-Def	This is a useful description of the value:High-Def
3114	1006	Furnace	Standard	This is a useful description of the value:Standard
3115	1006	GasTank	Low-Weight	This is a useful description of the value:Low-Weight
3116	1006	Generator	Mini	This is a useful description of the value:Mini
3117	1006	Kitchen	Chef-Ready	This is a useful description of the value:Chef-Ready
3118	1006	NumSleeping	5	This is a useful description of the value:5
3119	1006	OnboardWater	75 Gallon	This is a useful description of the value:75 Gallon
3120	1006	Seats	Naugahyde	This is a useful description of the value:Naugahyde
3121	1006	SlideOuts	3 Bedrooms, LivingRoom, DiningRoom, and Kitchen	This is a useful description of the value:3 Bedrooms, LivingRoom, DiningRoom, and Kitchen
3122	1006	SolarPanels	None	This is a useful description of the value:None
3123	1006	StorageCapacity	Economy	This is a useful description of the value:Economy
3124	1006	TowHitch	None	This is a useful description of the value:None
3125	1006	Walls	Plastered	This is a useful description of the value:Plastered
3126	1007	AirConditioning	Small	This is a useful description of the value:Small
3127	1007	Bathroom	Half	This is a useful description of the value:Half
3128	1007	Beds	Straw	This is a useful description of the value:Straw
3129	1007	Carpet	Textured Plush	This is a useful description of the value:Textured Plush
3130	1007	Electric	75 Amp Service	This is a useful description of the value:75 Amp Service
3131	1007	EntertainmentPackage	Basic	This is a useful description of the value:Basic
3132	1007	Furnace	Heat Pump	This is a useful description of the value:Heat Pump
3133	1007	GasTank	Large	This is a useful description of the value:Large
3134	1007	Generator	Standard	This is a useful description of the value:Standard
3135	1007	Kitchen	Full Range	This is a useful description of the value:Full Range
3136	1007	NumSleeping	1	This is a useful description of the value:1
3137	1007	OnboardWater	125 Gallon	This is a useful description of the value:125 Gallon
3138	1007	Seats	Vinyl	This is a useful description of the value:Vinyl
3139	1007	SlideOuts	DiningRoom, and Kitchen	This is a useful description of the value:DiningRoom, and Kitchen
3140	1007	SolarPanels	Double	This is a useful description of the value:Double
3141	1007	StorageCapacity	Limited	This is a useful description of the value:Limited
3142	1007	TowHitch	Front and Back	This is a useful description of the value:Front and Back
3143	1007	Walls	WhiteBoard	This is a useful description of the value:WhiteBoard
3144	1008	AirConditioning	Central-Air	This is a useful description of the value:Central-Air
3145	1008	Bathroom	Half	This is a useful description of the value:Half
3146	1008	Beds	Straw	This is a useful description of the value:Straw
3147	1008	Carpet	Low Nap	This is a useful description of the value:Low Nap
3148	1008	Electric	None	This is a useful description of the value:None
3149	1008	EntertainmentPackage	Basic	This is a useful description of the value:Basic
3150	1008	Furnace	None	This is a useful description of the value:None
3151	1008	GasTank	Large	This is a useful description of the value:Large
3152	1008	Generator	Large	This is a useful description of the value:Large
3153	1008	Kitchen	Full	This is a useful description of the value:Full
3154	1008	NumSleeping	2	This is a useful description of the value:2
3155	1008	OnboardWater	75 Gallon	This is a useful description of the value:75 Gallon
3156	1008	Seats	Cloth	This is a useful description of the value:Cloth
3157	1008	SlideOuts	2 Bedrooms, LivingRoom, DiningRoom, and Kitchen	This is a useful description of the value:2 Bedrooms, LivingRoom, DiningRoom, and Kitchen
3158	1008	SolarPanels	Enhanced	This is a useful description of the value:Enhanced
3159	1008	StorageCapacity	Basic	This is a useful description of the value:Basic
3160	1008	TowHitch	Heavy Duty Front and Heavy Duty Back	This is a useful description of the value:Heavy Duty Front and Heavy Duty Back
3161	1008	Walls	Plastered	This is a useful description of the value:Plastered
3162	1009	AirConditioning	Central-Air	This is a useful description of the value:Central-Air
3163	1009	Bathroom	Three Quarter	This is a useful description of the value:Three Quarter
3164	1009	Beds	Memory Foam	This is a useful description of the value:Memory Foam
3165	1009	Carpet	Polyester	This is a useful description of the value:Polyester
3166	1009	Electric	200 Amp Service	This is a useful description of the value:200 Amp Service
