1	194	.Auburn-Opelika, AL	475796
2	142	.Birmingham-Hoover, AL	56598
3	142	.Cullman, AL	92144
4	380	.Daphne-Fairhope, AL	79220
5	290	.Decatur, AL	1500741
6	222	.Dothan, AL	125834
7	222	.Enterprise-Ozark, AL	1500741
8	380	.Daphne-Fairhope, AL	188831
9	142	.Birmingham-Hoover, AL	156763
10	290	.Huntsville, AL	156763
11	380	.Mobile, AL	1500741
12	194	.Auburn-Opelika, AL	29641
13	222	.Enterprise-Ozark, AL	39858
14	194	.Tuskegee, AL	501774
15	122	.Valley, AL	9098316
16	340	.Little Rock-North Little Rock, AR	97296
17	340	.Little Rock-North Little Rock, AR	148337
18	340	.Pine Bluff, AR	85897
19	340	.Searcy, AR	55225
20	472	.Sacramento--Arden-Arcade--Roseville, CA	201602
21	472	.Sacramento--Arden-Arcade--Roseville, CA	3043878
22	488	.Vallejo-Fairfield, CA	231969
23	488	.San Francisco-Oakland-Fremont, CA	49405
24	260	.Fresno, CA	3043878
25	472	.Truckee-Grass Valley, CA	207355
26	348	.Los Angeles-Long Beach-Santa Ana, CA	71558
27	348	.Los Angeles-Long Beach-Santa Ana, CA	231969
28	260	.Madera, CA	3043878
29	488	.Napa, CA	102997
30	488	.San Francisco-Oakland-Fremont, CA	230014
31	348	.Riverside-San Bernardino-Ontario, CA	68470
32	348	.Oxnard-Thousand Oaks-Ventura, CA	4796183
33	488	.Santa Rosa-Petaluma, CA	968858
34	348	.Riverside-San Bernardino-Ontario, CA	442656
35	472	.Sacramento--Arden-Arcade--Roseville, CA	442656
36	348	.Riverside-San Bernardino-Ontario, CA	42745
37	488	.San Francisco-Oakland-Fremont, CA	174706
38	488	.San Jose-Sunnyvale-Santa Clara, CA	4715407
39	348	.Los Angeles-Long Beach-Santa Ana, CA	20082
40	488	.San Jose-Sunnyvale-Santa Clara, CA	27026
41	488	.Santa Cruz-Watsonville, CA	62110
42	488	.Santa Rosa-Petaluma, CA	249700
43	488	.San Jose-Sunnyvale-Santa Clara, CA	194042
44	348	.Oxnard-Thousand Oaks-Ventura, CA	22716
45	472	.Truckee-Grass Valley, CA	31963
46	488	.Vallejo-Fairfield, CA	46659
47	348	.Oxnard-Thousand Oaks-Ventura, CA	61758
48	488	.Santa Cruz-Watsonville, CA	4715407
49	216	.Denver-Aurora, CO	335227
50	216	.Boulder, CO	47909
